SpecNo,ItemId,Seq,AcceptanceVi,AcceptanceEn,MethodVi,MethodEn,SourceFrequency,Sort
CCL-SPEC-QC010,BD-01,1,FTM: 2,,Máy kiểm tra độ bám dính,Adhesion tester,Kiểm tra 1 lần/ tháng. Check once a month.,128
CCL-SPEC-QC010,CU-01,1,"Loại Bút, Qủa nặng:  XXX","Pen Type, Weight",Không có vết xước,Nhìn bằng mắt & so sánh với mẫu trước và sau. No scratches Visually look & compare with before and after sample.,All lot,129
CCL-SPEC-QC010,XS-01,1,Theo tiêu chuẩn TDS,According to TDS standard,Nhìn bằng mắt & so sánh dữ liệu trên máy với tiêu chuẩn.,Visually look and compare the data on the machine with the standard.,All lot,130
CCL-SPEC-QC011,NL-01,1,Theo mẫu chuẩn được lưu,According to the standard form stored,Kiểm tra mác SP & so sánh với SP mẫu,Check product label & compare with sample product,All lot,131
CCL-SPEC-QC011,NQ-01,1,"Kiểm tra thông tin trên tem, hạn sử dụng…","Check the information on the stamp, expiry date…",,,All lot,132
CCL-SPEC-QC011,NQ-02,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt & so sánh với mẫu chuẩn,Look with your eyes and compare with the standard sample,All lot,133
CCL-SPEC-QC011,NQ-03,1,Không có bụi bẩn,No dust,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,134
CCL-SPEC-QC011,NQ-04,1,Không có xước & nhăn,No scratches & wrinkles,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,135
CCL-SPEC-QC011,NQ-05,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,136
CCL-SPEC-QC011,NQ-06,1,"Không rách, không biến dạng, không đổ pallet,Không bẩn, không ẩm ướt","No tear, no deformation, no pallet fall, No dirt, no moisture",Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,137
CCL-SPEC-QC011,KT-01,1,"Theo dữ liệu đầu vào (báo cáo xuất hàng, tem cuộn,…)","According to input data (shipment report, roll stamp, etc.)",So sánh data và thước đo,Compare data and metrics,Do tối đa 5 mẫu/lot Maximum 5 samples/lot,138
CCL-SPEC-QC011,MT-01,1,"Cd,Cl,Hg, Pb, Sb, Cr, Br",,Phân tích thành phần nguyên liệu bằng máy X-ray và so sánh với tiêu chuẩn kiểm tra,Analyze raw material composition by X-ray machine and compare with testing standards,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,139
CCL-SPEC-QC011,MT-02,1,Kiểm tra HSF,,Ngày Rohs: 07/11/2025,Rohs Date: 11/07/2025,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,140
CCL-SPEC-QC011,BD-01,1,FTM: 2( 24h),,Máy kiểm tra độ bám dính,Adhesion tester,Kiểm tra 1 lần/ tháng. Check once a month.,141
CCL-SPEC-QC011,CU-01,1,"Loại Bút, Qủa nặng:  XXX","Pen Type, Weight",Không có vết xước,Nhìn bằng mắt & so sánh với mẫu trước và sau. No scratches Visually look & compare with before and after sample.,All lot,142
CCL-SPEC-QC011,XS-01,1,Theo tiêu chuẩn TDS,According to TDS standard,Nhìn bằng mắt & so sánh dữ liệu trên máy với tiêu chuẩn.,Visually look and compare the data on the machine with the standard.,All lot,143
CCL-SPEC-QC012,NL-01,1,Theo mẫu chuẩn được lưu,According to the standard form stored,Kiểm tra mác SP & so sánh với SP mẫu,Check product label & compare with sample product,All lot,144
CCL-SPEC-QC012,NQ-01,1,"Kiểm tra thông tin trên tem, hạn sử dụng…","Check the information on the stamp, expiry date…",,,All lot,145
CCL-SPEC-QC012,NQ-02,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt & so sánh với mẫu chuẩn,Look with your eyes and compare with the standard sample,All lot,146
CCL-SPEC-QC012,NQ-03,1,Không có bụi bẩn,No dust,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,147
CCL-SPEC-QC012,NQ-04,1,Không có xước & nhăn,No scratches & wrinkles,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,148
CCL-SPEC-QC012,NQ-05,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,149
CCL-SPEC-QC012,NQ-06,1,"Không rách, không biến dạng, không đổ pallet,Không bẩn, không ẩm ướt","No tear, no deformation, no pallet fall, No dirt, no moisture",Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,150
CCL-SPEC-QC012,KT-01,1,"Theo dữ liệu đầu vào (báo cáo xuất hàng, tem cuộn,…)","According to input data (shipment report, roll stamp, etc.)",So sánh data và thước đo,Compare data and metrics,Do tối đa 5 mẫu/lot Maximum 5 samples/lot,151
CCL-SPEC-QC012,MT-01,1,"Cd,Cl,Hg, Pb, Sb, Cr, Br",,Phân tích thành phần nguyên liệu bằng máy X-ray và so sánh với tiêu chuẩn kiểm tra,Analyze raw material composition by X-ray machine and compare with testing standards,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,152
CCL-SPEC-QC012,MT-02,1,Kiểm tra HSF,,Ngày Rohs: 22/7/2026,Rohs Date: 7/22/2026,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,153
CCL-SPEC-QC012,BD-01,1,FTM: 2,,Máy kiểm tra độ bám dính,Adhesion tester,Kiểm tra 1 lần/ tháng. Check once a month.,154
CCL-SPEC-QC012,CU-01,1,"Loại Bút, Qủa nặng:  XXX","Pen Type, Weight",Không có vết xước,Nhìn bằng mắt & so sánh với mẫu trước và sau. No scratches Visually look & compare with before and after sample.,All lot,155
CCL-SPEC-QC012,XS-01,1,Theo tiêu chuẩn TDS,According to TDS standard,Nhìn bằng mắt & so sánh dữ liệu trên máy với tiêu chuẩn.,Visually look and compare the data on the machine with the standard.,All lot,156
CCL-SPEC-QC013,NL-01,1,Theo mẫu chuẩn được lưu,According to the standard form stored,Kiểm tra mác SP & so sánh với SP mẫu,Check product label & compare with sample product,All lot,157
CCL-SPEC-QC013,NQ-01,1,"Kiểm tra thông tin trên tem, hạn sử dụng…","Check the information on the stamp, expiry date…",,,All lot,158
CCL-SPEC-QC013,NQ-02,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt & so sánh với mẫu chuẩn,Look with your eyes and compare with the standard sample,All lot,159
CCL-SPEC-QC013,NQ-03,1,Không có bụi bẩn,No dust,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,160
CCL-SPEC-QC013,NQ-04,1,Không có xước & nhăn,No scratches & wrinkles,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,161
CCL-SPEC-QC013,NQ-05,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,162
CCL-SPEC-QC013,NQ-06,1,"Không rách, không biến dạng, không đổ pallet,Không bẩn, không ẩm ướt","No tear, no deformation, no pallet fall, No dirt, no moisture",Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,163
CCL-SPEC-QC013,KT-01,1,"Theo dữ liệu đầu vào (báo cáo xuất hàng, tem cuộn,…)","According to input data (shipment report, roll stamp, etc.)",So sánh data và thước đo,Compare data and metrics,Do tối đa 5 mẫu/lot Maximum 5 samples/lot,164
CCL-SPEC-QC013,MT-01,1,"Cd,Cl,Hg, Pb, Sb, Cr, Br",,Phân tích thành phần nguyên liệu bằng máy X-ray và so sánh với tiêu chuẩn kiểm tra,Analyze raw material composition by X-ray machine and compare with testing standards,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,165
CCL-SPEC-QC013,MT-02,1,Kiểm tra HSF,,Ngày Rohs: 05/9/2025,Rohs Date: 9/05/2025,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,166
CCL-SPEC-QC013,BD-01,1,FTM: 2(20p),,Máy kiểm tra độ bám dính,Adhesion tester,Kiểm tra 1 lần/ tháng. Check once a month.,167
CCL-SPEC-QC013,CU-01,1,"Loại Bút, Qủa nặng:  XXX","Pen Type, Weight",Không có vết xước,Nhìn bằng mắt & so sánh với mẫu trước và sau. No scratches Visually look & compare with before and after sample.,All lot,168
CCL-SPEC-QC013,XS-01,1,Theo tiêu chuẩn TDS,According to TDS standard,Nhìn bằng mắt & so sánh dữ liệu trên máy với tiêu chuẩn.,Visually look and compare the data on the machine with the standard.,All lot,169
CCL-SPEC-QC014,NL-01,1,Theo mẫu chuẩn được lưu,According to the standard form stored,Kiểm tra mác SP & so sánh với SP mẫu,Check product label & compare with sample product,All lot,170
CCL-SPEC-QC014,NQ-01,1,"Kiểm tra thông tin trên tem, hạn sử dụng…","Check the information on the stamp, expiry date…",,,All lot,171
CCL-SPEC-QC014,NQ-02,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt & so sánh với mẫu chuẩn,Look with your eyes and compare with the standard sample,All lot,172
CCL-SPEC-QC014,NQ-03,1,Không có bụi bẩn,No dust,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,173
CCL-SPEC-QC014,NQ-04,1,Không có xước & nhăn,No scratches & wrinkles,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,174
CCL-SPEC-QC014,NQ-05,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,175
CCL-SPEC-QC014,NQ-06,1,"Không rách, không biến dạng, không đổ pallet,Không bẩn, không ẩm ướt","No tear, no deformation, no pallet fall, No dirt, no moisture",Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,176
CCL-SPEC-QC014,KT-01,1,"Theo dữ liệu đầu vào (báo cáo xuất hàng, tem cuộn,…)","According to input data (shipment report, roll stamp, etc.)",So sánh data và thước đo,Compare data and metrics,Do tối đa 5 mẫu/lot Maximum 5 samples/lot,177
CCL-SPEC-QC014,MT-01,1,"Cd,Cl,Hg, Pb, Sb, Cr, Br",,Phân tích thành phần nguyên liệu bằng máy X-ray và so sánh với tiêu chuẩn kiểm tra,Analyze raw material composition by X-ray machine and compare with testing standards,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,178
CCL-SPEC-QC014,MT-02,1,Kiểm tra HSF,,Ngày Rohs: 17/09/2025,Rohs Date: 09/17/2025,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,179
CCL-SPEC-QC014,BD-01,1,FTM:  FTM2,,Máy kiểm tra độ bám dính,Adhesion tester,Kiểm tra 1 lần/ tháng. Check once a month.,180
CCL-SPEC-QC014,CU-01,1,"Loại Bút, Qủa nặng:  XXX","Pen Type, Weight",Không có vết xước,Nhìn bằng mắt & so sánh với mẫu trước và sau. No scratches Visually look & compare with before and after sample.,All lot,181
CCL-SPEC-QC014,XS-01,1,Theo tiêu chuẩn TDS,According to TDS standard,Nhìn bằng mắt & so sánh dữ liệu trên máy với tiêu chuẩn.,Visually look and compare the data on the machine with the standard.,All lot,182
CCL-SPEC-QC015,NL-01,1,Theo mẫu chuẩn được lưu,According to the standard form stored,Kiểm tra mác SP & so sánh với SP mẫu,Check product label & compare with sample product,All lot,183
CCL-SPEC-QC015,NQ-01,1,"Kiểm tra thông tin trên tem, hạn sử dụng…","Check the information on the stamp, expiry date…",,,All lot,184
CCL-SPEC-QC015,NQ-02,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt & so sánh với mẫu chuẩn,Look with your eyes and compare with the standard sample,All lot,185
CCL-SPEC-QC015,NQ-03,1,Không có bụi bẩn,No dust,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,186
CCL-SPEC-QC015,NQ-04,1,Không có xước & nhăn,No scratches & wrinkles,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,187
CCL-SPEC-QC015,NQ-05,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,188
CCL-SPEC-QC015,NQ-06,1,"Không rách, không biến dạng, không đổ pallet,Không bẩn, không ẩm ướt","No tear, no deformation, no pallet fall, No dirt, no moisture",Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,189
CCL-SPEC-QC015,KT-01,1,"Theo dữ liệu đầu vào (báo cáo xuất hàng, tem cuộn,…)","According to input data (shipment report, roll stamp, etc.)",So sánh data và thước đo,Compare data and metrics,Do tối đa 5 mẫu/lot Maximum 5 samples/lot,190
CCL-SPEC-QC015,MT-01,1,"Cd,Cl,Hg, Pb, Sb, Cr, Br",,Phân tích thành phần nguyên liệu bằng máy X-ray và so sánh với tiêu chuẩn kiểm tra,Analyze raw material composition by X-ray machine and compare with testing standards,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,191
CCL-SPEC-QC015,MT-02,1,Kiểm tra HSF,,Ngày Rohs: 08/12/2025,Rohs Date: 12/08/2025,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,192
CCL-SPEC-QC015,BD-01,1,FTM:  2,,Máy kiểm tra độ bám dính,Adhesion tester,Kiểm tra 1 lần/ tháng. Check once a month.,193
CCL-SPEC-QC015,CU-01,1,"Loại Bút, Qủa nặng:  XXX","Pen Type, Weight",Không có vết xước,Nhìn bằng mắt & so sánh với mẫu trước và sau. No scratches Visually look & compare with before and after sample.,All lot,194
CCL-SPEC-QC015,XS-01,1,Theo tiêu chuẩn TDS,According to TDS standard,Nhìn bằng mắt & so sánh dữ liệu trên máy với tiêu chuẩn.,Visually look and compare the data on the machine with the standard.,All lot,195
CCL-SPEC-QC016,NL-01,1,Theo mẫu chuẩn được lưu,According to the standard form stored,Kiểm tra mác SP & so sánh với SP mẫu,Check product label & compare with sample product,All lot,196
CCL-SPEC-QC016,NQ-01,1,"Kiểm tra thông tin trên tem, hạn sử dụng…","Check the information on the stamp, expiry date…",,,All lot,197
CCL-SPEC-QC016,NQ-02,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt & so sánh với mẫu chuẩn,Look with your eyes and compare with the standard sample,All lot,198
CCL-SPEC-QC016,NQ-03,1,Không có bụi bẩn,No dust,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,199
CCL-SPEC-QC016,NQ-04,1,Không có xước & nhăn,No scratches & wrinkles,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,200
CCL-SPEC-QC016,NQ-05,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,201
CCL-SPEC-QC016,NQ-06,1,"Không rách, không biến dạng, không đổ pallet,Không bẩn, không ẩm ướt","No tear, no deformation, no pallet fall, No dirt, no moisture",Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,202
CCL-SPEC-QC016,KT-02,1,"Theo dữ liệu đầu vào (báo cáo xuất hàng, tem cuộn,…)",,So sánh data và thước đo,,Do tối đa 5 mẫu ( cuộn) Mỗi kích thước đo 2 điểm cách nhau 5 met,203
CCL-SPEC-QC016,KT-03,1,"Theo dữ liệu đầu vào (báo cáo xuất hàng, tem cuộn,…)",,So sánh data và thước đo,,Do tối đa 5 mẫu ( cuộn) Mỗi kích thước đo 2 điểm cách nhau 5 met,204
CCL-SPEC-QC016,KT-04,1,Theo TDS,,TDS,,Do tối đa 5 mẫu ( cuộn) Mỗi kích thước đo 2 điểm cách nhau 5 met,205
CCL-SPEC-QC016,MT-01,1,"Cd,Cl,Hg, Pb, Sb, Cr, Br",,Phân tích thành phần nguyên liệu bằng máy X-ray và so sánh với tiêu chuẩn kiểm tra,Analyze raw material composition by X-ray machine and compare with testing standards,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,206
CCL-SPEC-QC016,MT-02,1,Kiểm tra HSF,,Ngày Rohs:  10/2/2026,Rohs Date: 2/10/2026,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,207
CCL-SPEC-QC016,BD-01,1,FTM: 2,,Máy kiểm tra độ bám dính,Adhesion tester,Kiểm tra 1 lần/ tháng. Check once a month.,208
CCL-SPEC-QC016,CU-01,1,"Loại Bút, Qủa nặng:  XXX","Pen Type, Weight",Không có vết xước,Nhìn bằng mắt & so sánh với mẫu trước và sau. No scratches Visually look & compare with before and after sample.,All lot,209
CCL-SPEC-QC016,XS-01,1,Theo tiêu chuẩn TDS,According to TDS standard,Nhìn bằng mắt & so sánh dữ liệu trên máy với tiêu chuẩn.,Visually look and compare the data on the machine with the standard.,All lot,210
CCL-SPEC-QC018,NL-01,1,Theo mẫu chuẩn được lưu,According to the standard form stored,Kiểm tra mác SP & so sánh với SP mẫu,Check product label & compare with sample product,All lot,211
